"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","Churn","Young","RevenuePerUser" 
"3014-WJKSM","Male",0,"Yes","No",29,"Yes","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)","No",0,58.5
"3016-KSVCP","Male",0,"Yes","No",29,"No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Mailed check","No",0,53.2
"3018-TFTSU","Male",0,"No","No",12,"Yes","DSL","Yes","No","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)","Yes",0,65.2
"3021-VLNRJ","Female",0,"No","Yes",50,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","No","One year","Yes","Credit card (automatic)","No",0,75
"3022-BEXHZ","Male",0,"Yes","Yes",67,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No",0,87
"3023-GFLBR","Female",0,"Yes","Yes",33,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","No","Credit card (automatic)","Yes",0,71.2
"3026-ATZYV","Female",0,"Yes","Yes",37,"Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","No","Bank transfer (automatic)","No",0,85.2
"3027-YNWZU","Female",0,"Yes","No",64,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","No",0,23.2
"3027-ZTDHO","Male",0,"No","No",1,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,73
"3030-YDNRM","Male",0,"No","No",8,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","No",0,55
"3030-YZADT","Male",0,"No","No",9,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check","Yes",0,58.2
"3030-ZKIWL","Male",0,"No","No",1,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",1,23.2
"3034-ZBEQN","Female",0,"Yes","No",48,"No","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Mailed check","Yes",0,52.2
"3038-PQIUY","Female",0,"No","No",38,"Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No",0,67.5
"3039-MJSLN","Male",0,"No","Yes",3,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)","No",0,23.2
"3043-SUDUA","Female",0,"No","No",32,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)","No",1,23.2
"3043-TYBNO","Male",0,"No","No",3,"Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","No","Mailed check","No",0,76.2
"3045-XETSH","Female",0,"No","No",10,"Yes","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,77
"3049-NDXFL","Female",0,"No","No",1,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","No","Mailed check","Yes",0,71.2
"3049-SOLAY","Female",0,"Yes","No",3,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,73
"3050-GBUSH","Female",0,"No","No",3,"No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)","No",0,50
"3050-RLLXC","Female",0,"Yes","Yes",56,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)","No",0,83.7
"3055-MJDSB","Male",0,"No","No",9,"No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check","No",0,40
"3055-OYMSE","Female",1,"No","No",53,"Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","No",0,60.5
"3055-VTCGS","Female",0,"No","No",63,"Yes","Fiber optic","No","No","Yes","No","No","Yes","One year","No","Credit card (automatic)","No",0,74.7
"3057-VJJQE","Male",0,"No","No",35,"Yes","Fiber optic","Yes","No","No","No","No","No","Two year","No","Mailed check","No",0,61.7
"3058-HJCUY","Male",0,"Yes","Yes",41,"Yes","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check","Yes",0,81.5
"3058-WQDRE","Male",0,"No","No",13,"No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No",0,40
"3059-NGMXB","Male",0,"Yes","Yes",14,"Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","No","Mailed check","No",0,80.2
"3061-BCKYI","Male",0,"No","No",14,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",1,23.2
"3062-ICYZQ","Female",0,"Yes","Yes",51,"Yes","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check","No",0,77
"3063-QFSZL","Female",0,"No","No",1,"Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,68
"3066-RRJIO","Female",0,"No","No",1,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check","Yes",0,55
"3067-SVMTC","Female",0,"Yes","No",68,"Yes","Fiber optic","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)","No",0,66.7
"3068-OMWZA","Male",1,"No","No",1,"Yes","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check","Yes",0,66.5
"3069-SSVSN","Female",0,"No","No",1,"No","Fiber optic","No","No","No","No","No","No","One year","No","Mailed check","No",0,43.2
"3070-BDOQC","Female",0,"No","No",60,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check","No",0,82
"3070-DVEYC","Male",1,"No","No",7,"Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check","Yes",0,58.2
"3070-FNFZQ","Female",0,"Yes","Yes",23,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","No",0,23.2
"3071-MVJCD","Male",0,"Yes","Yes",72,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Bank transfer (automatic)","No",0,83.7
"3071-VBYPO","Male",0,"Yes","Yes",3,"Yes","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check","No",0,75.2
"3074-GQWYX","Male",0,"No","No",5,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,55
"3077-RSNTJ","Female",0,"Yes","Yes",6,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",0,23.2
"3078-ZKNTS","Female",0,"Yes","Yes",13,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)","No",0,20
"3079-BCHLN","Male",0,"Yes","No",47,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)","No",0,23.2
"3082-VQXNH","Male",0,"Yes","No",3,"No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)","No",0,48.7
"3082-WQRVY","Male",1,"No","No",14,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check","No",0,23.2
"3082-YVEKW","Female",0,"Yes","Yes",23,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)","No",0,75
"3084-DOWLE","Female",0,"Yes","No",72,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No",0,93.7
"3085-QUOZK","Female",0,"No","No",1,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check","Yes",0,58.2
"3086-RUCRN","Female",0,"No","No",66,"Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No",0,85.5
"3088-FVYWK","Male",0,"Yes","Yes",53,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","No",0,23.2
"3088-LHEFH","Female",0,"No","No",11,"Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No",0,58.5
"3090-HAWSU","Male",0,"No","No",61,"Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","Yes",0,85
"3090-LETTY","Male",0,"No","Yes",2,"Yes","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)","No",0,67.2
"3090-QFUVD","Female",0,"No","No",1,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Credit card (automatic)","No",0,23.2
"3091-FYHKI","Male",0,"No","No",1,"No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,55
"3092-IGHWF","Male",0,"Yes","Yes",67,"Yes","DSL","No","Yes","Yes","No","No","No","One year","No","Electronic check","Yes",0,67.2
"3094-JOJAI","Male",0,"No","No",18,"Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check","No",0,58.2
"3096-GKWEB","Male",0,"Yes","No",18,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,73
"3096-IZETN","Female",0,"No","No",12,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)","Yes",0,71.2
"3096-JRDSO","Female",1,"No","No",27,"Yes","DSL","Yes","No","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,81.5
"3096-WPXBT","Female",0,"Yes","Yes",61,"Yes","DSL","Yes","Yes","Yes","No","No","Yes","One year","Yes","Credit card (automatic)","No",0,80.5
"3096-YXENJ","Female",0,"Yes","No",65,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No",0,87
"3097-FQTVJ","Female",0,"No","No",41,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check","No",1,23.2
"3097-IDVPU","Male",0,"Yes","Yes",19,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)","No",0,58.2
"3097-NNSPB","Female",0,"No","No",2,"Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","Yes",0,60.5
"3097-NQYSN","Male",1,"No","No",2,"Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check","Yes",0,63
"3097-PYWXL","Female",0,"Yes","Yes",4,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check","No",0,20
"3099-OONVS","Male",0,"Yes","Yes",25,"Yes","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","No","Electronic check","No",0,66.7
"3104-OWCGK","Male",0,"Yes","Yes",60,"Yes","DSL","No","Yes","Yes","No","Yes","No","One year","No","Electronic check","Yes",0,75.2
"3106-ULWFW","Female",0,"Yes","No",8,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)","Yes",0,68
"3108-PCCGG","Male",1,"No","No",72,"Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)","No",0,88.7
"3113-IWHLC","Male",0,"No","No",5,"Yes","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check","No",0,62
"3115-CZMZD","Male",0,"No","Yes",0,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check","No",0,23.2
"3115-JPJDD","Female",0,"Yes","No",59,"Yes","DSL","Yes","No","Yes","No","No","No","One year","Yes","Credit card (automatic)","No",0,62
"3118-UHVVQ","Female",0,"Yes","No",68,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","No",0,23.2
"3120-FAZKD","Male",0,"Yes","Yes",54,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)","No",0,20
"3125-RAHBV","Male",0,"No","No",22,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)","No",0,23.2
"3126-WQMGH","Female",0,"Yes","No",49,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","No",0,55
"3128-YOVTD","Female",0,"Yes","Yes",51,"Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No",0,64
"3129-AAQOU","Female",0,"Yes","Yes",19,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check","No",0,23.2
"3130-ICDUP","Female",0,"No","Yes",2,"Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)","No",0,61.7
"3131-NWVFJ","Female",0,"Yes","Yes",14,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check","No",0,23.2
"3132-TVFDZ","Male",1,"No","No",57,"No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,65
"3133-PZNSR","Male",0,"Yes","Yes",72,"Yes","DSL","Yes","Yes","No","Yes","No","Yes","Two year","Yes","Credit card (automatic)","No",0,82
"3134-DSHVC","Female",0,"No","No",63,"Yes","DSL","Yes","Yes","Yes","No","Yes","No","Two year","No","Credit card (automatic)","No",0,78.7
"3137-LUPIX","Female",0,"No","No",4,"Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check","No",0,68
"3137-NYQQI","Male",0,"Yes","No",17,"Yes","Fiber optic","Yes","Yes","No","No","No","Yes","One year","No","Mailed check","No",0,80.2
"3138-BKYAV","Male",0,"No","No",6,"Yes","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check","Yes",0,68.5
"3143-ILDAL","Male",0,"No","No",56,"Yes","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,78.5
"3143-JQEGI","Female",0,"Yes","Yes",13,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check","Yes",0,76.2
"3144-AUDBS","Female",0,"Yes","No",6,"Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check","Yes",0,60
"3144-KMTWZ","Male",0,"Yes","No",71,"Yes","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No",0,77
"3146-JTQHR","Male",0,"Yes","No",10,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)","No",0,23.2
"3146-MSEGF","Female",1,"No","No",72,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No",0,90.5
"3148-AOIQT","Female",0,"Yes","No",69,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)","No",0,20
"3148-BLQJT","Male",0,"No","No",1,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","Yes",1,23.2
"3154-CFSZG","Male",0,"Yes","Yes",47,"Yes","DSL","Yes","No","Yes","No","No","Yes","Month-to-month","No","Electronic check","No",0,78.2
"3154-HMWUU","Male",0,"Yes","No",60,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)","No",0,20
"3156-QLHBO","Male",0,"No","Yes",2,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",0,23.2
"3158-MOERK","Female",0,"No","No",2,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,73
"3160-TYXLT","Male",0,"No","No",53,"No","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No",0,64
"3161-GETRM","Male",0,"Yes","Yes",34,"Yes","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)","No",0,71.5
"3161-ONRWK","Male",0,"Yes","Yes",60,"Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)","No",0,72.5
"3162-KKZXO","Female",1,"No","No",55,"Yes","DSL","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check","No",0,76.5
"3162-ZJZFU","Male",0,"Yes","Yes",53,"Yes","DSL","No","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check","No",0,73.5
"3164-AALRN","Male",0,"No","No",5,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Mailed check","Yes",0,76.5
"3164-YAXFY","Male",0,"No","No",57,"No","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,72
"3165-HDOEW","Male",0,"Yes","Yes",1,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check","Yes",0,55
"3166-PNEOF","Female",0,"No","No",61,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)","No",0,88.2
"3167-SNQPL","Male",1,"No","No",38,"Yes","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check","No",0,81.7
"3170-GWYKC","Female",0,"No","No",60,"Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","No",0,85
"3170-NMYVV","Female",0,"Yes","Yes",50,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","No",0,23.2
"3173-NVMPX","Female",0,"Yes","Yes",9,"Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check","No",0,60.5
"3173-WSSUE","Female",0,"Yes","Yes",71,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","No",0,23.2
"3174-AKMAS","Female",0,"Yes","No",46,"Yes","Fiber optic","No","Yes","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)","No",0,73.5
"3174-RKMOW","Male",0,"Yes","Yes",35,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,87
"3177-LASXD","Female",0,"No","No",1,"Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check","Yes",0,58.2
"3178-CIFOT","Female",0,"No","No",23,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)","No",1,20
"3178-FESZO","Female",0,"No","No",1,"Yes","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","Yes",0,78.5
"3179-GBRWV","Male",1,"No","No",21,"Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No",0,77
"3181-MIZBN","Male",0,"Yes","Yes",16,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check","No",0,23.2
"3181-VTHOE","Male",0,"Yes","No",70,"No","Fiber optic","No","Yes","Yes","Yes","No","Yes","One year","Yes","Bank transfer (automatic)","No",0,69
"3186-AJIEK","Male",0,"No","No",66,"Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No",0,85
"3186-BAXNB","Female",0,"No","No",1,"Yes","DSL","No","Yes","No","Yes","Yes","No","Month-to-month","No","Electronic check","Yes",0,76.7
"3190-FZATL","Male",0,"No","Yes",14,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",0,23.2
"3190-ITQXP","Female",0,"Yes","Yes",46,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","No",0,23.2
"3190-XFANI","Male",0,"No","Yes",49,"Yes","DSL","No","No","No","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)","Yes",0,78
"3191-CSNMG","Female",0,"Yes","Yes",3,"Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check","No",0,63
"3192-LNKRK","Male",0,"Yes","Yes",34,"Yes","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Mailed check","No",0,66.5
"3192-NQECA","Male",0,"Yes","No",68,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","Yes",0,87
"3194-ORPIK","Female",0,"Yes","Yes",50,"Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,63
"3195-TQDZX","Male",0,"No","No",3,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check","No",0,20
"3196-NVXLZ","Female",0,"No","No",25,"Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check","No",0,63
"3197-ARFOY","Female",1,"No","No",19,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check","No",0,87
"3197-NNYNB","Male",0,"No","No",65,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)","No",0,85.2
"3198-VELRD","Female",0,"Yes","Yes",3,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,68
"3199-NPKCN","Female",0,"Yes","No",67,"Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check","No",0,85
"3199-XGZCY","Female",0,"No","No",8,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","No",0,55
"3200-MNQTF","Male",0,"Yes","No",67,"Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)","No",0,75.7
"3205-MXZRA","Male",0,"No","No",26,"Yes","Fiber optic","No","No","No","Yes","Yes","No","One year","No","Credit card (automatic)","No",0,71.2
"3207-OYBWH","Male",1,"No","No",57,"Yes","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,77
"3208-YPIOE","Male",0,"No","No",39,"Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check","Yes",0,58.2
"3209-ZPKFI","Male",0,"Yes","Yes",47,"Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Electronic check","No",0,63.7
"3211-AAPKX","Male",0,"No","No",20,"Yes","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check","No",0,78
"3211-ILJTT","Male",0,"Yes","No",17,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,55
"3212-KXOCR","Male",0,"No","No",52,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","No",1,23.2
"3213-VVOLG","Male",0,"Yes","Yes",0,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check","No",0,23.2
"3214-IYUUQ","Female",0,"Yes","No",61,"Yes","DSL","Yes","Yes","No","Yes","No","Yes","One year","No","Bank transfer (automatic)","No",0,85.2
"3217-FZDMN","Female",1,"No","No",8,"Yes","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","Yes",0,76.5
"3219-JQRSL","Female",1,"No","No",72,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)","No",0,93.7
"3221-CJMSG","Male",0,"No","No",24,"Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)","No",0,60
"3223-DWFIO","Male",1,"No","No",4,"Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check","No",0,58.2
"3223-WZWJM","Male",0,"No","No",26,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,68
"3224-DFQNQ","Female",0,"Yes","No",66,"Yes","DSL","Yes","Yes","No","Yes","No","No","One year","No","Electronic check","No",0,72.2
"3227-WLKLI","Female",0,"Yes","Yes",65,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No",0,93.7
"3229-USWAR","Female",0,"No","No",34,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)","No",0,85
"3230-IUALN","Female",0,"Yes","Yes",45,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check","No",0,85
"3230-JCNZS","Female",0,"Yes","Yes",71,"Yes","DSL","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Credit card (automatic)","No",0,75.5
"3230-WYKIR","Male",0,"No","No",18,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)","Yes",0,81.5
"3234-VKACU","Male",0,"No","No",2,"Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","No","Electronic check","No",0,81.2
"3235-ETOOB","Male",0,"Yes","No",8,"Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes",0,58.5
"3237-AJGEH","Female",0,"Yes","Yes",3,"No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check","Yes",0,45
"3239-TPHPZ","Female",0,"Yes","No",12,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Electronic check","No",0,20
"3243-ZHOHY","Female",0,"No","No",16,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check","No",1,23.2
"3244-CQPHU","Female",1,"No","No",72,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No",0,87
"3244-DCJWY","Female",0,"No","No",1,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes",0,55
"3247-MHJKM","Male",0,"No","No",1,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",1,23.2
"3247-ZVOUO","Male",1,"No","No",10,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","No","Electronic check","Yes",0,71.2
"3249-VHRIP","Female",0,"No","No",62,"No","Fiber optic","No","Yes","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)","No",0,64
"3249-ZPQRG","Male",0,"No","No",4,"Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check","Yes",0,63.7
"3251-YMVWZ","Male",0,"No","No",53,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)","No",1,23.2
"3253-HKOKL","Female",0,"Yes","Yes",52,"Yes","DSL","Yes","No","Yes","No","Yes","Yes","One year","No","Electronic check","No",0,83.2
"3254-YRILK","Male",1,"No","No",19,"Yes","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check","Yes",0,68.5
"3255-GRXMG","Male",0,"No","Yes",18,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","No",0,55
"3256-EZDBI","Male",1,"No","No",51,"No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","No",0,45.5
"3258-SANFR","Male",1,"No","No",6,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)","No",0,58.2
